step,secs,tou_price,s0_c1,s0_c2,s0_c3,s0_c4,s0_c5,s0_active_load_kw,pv_0,s1_c1,s1_c2,s1_c3,s1_c4,s1_c5,s1_active_load_kw,pv_1,s2_c1,s2_c2,s2_c3,s2_c4,s2_c5,s2_active_load_kw,pv_2,s3_c1,s3_c2,s3_c3,s3_c4,s3_c5,s3_active_load_kw,pv_3,s4_c1,s4_c2,s4_c3,s4_c4,s4_c5,s4_active_load_kw,pv_4,temperature_c,humidity_pct,cloud_amount,precipitation_mm,snow_cm,wind_speed_ms,wind_direction_deg,pressure_hpa,sea_level_pressure_hpa,solar_radiation_mj_m2,current_PTY
5,0,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.867,91.083,4.917,0.0,0.0,2.75,250.0,998.083,1008.383,0.0,0
5,600,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.8,91.25,4.75,0.0,0.0,2.85,250.0,998.25,1008.55,0.0,0
5,1200,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.733,91.417,4.583,0.0,0.0,2.95,250.0,998.417,1008.717,0.0,0
5,1800,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.667,91.583,4.417,0.0,0.0,3.05,250.0,998.583,1008.883,0.0,0
5,2400,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.6,91.75,4.25,0.0,0.0,3.15,250.0,998.75,1009.05,0.0,0
5,3000,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,10.533,91.917,4.083,0.0,0.0,3.25,250.0,998.917,1009.217,0.0,0
6,0,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,3.826,0.0,10.525,91.917,4.25,0.0,0.0,3.25,250.0,998.992,1009.292,0.003,0
6,600,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,6.479,0.0,10.575,91.75,4.75,0.0,0.0,3.15,250.0,998.975,1009.275,0.01,0
6,1200,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,3.081,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,6.486,0.0,10.625,91.583,5.25,0.0,0.0,3.05,250.0,998.958,1009.258,0.017,0
6,1800,84.5,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,6.474,0.0,10.675,91.417,5.75,0.0,0.0,2.95,250.0,998.942,1009.242,0.023,0
